Title,Date Published,Author(s),URL,300-word Summary
Nuclear Cooperation with Other Countries: A Primer,9/9/25,Paul K. Kerr; Mary Beth D. Nikitin,www.congress.gov/crs-report/RS22937,"In order for the United States to engage in significant civilian nuclear cooperation with other states, it must conclude a framework agreement that meets specific requirements under Section 123 of the Atomic Energy Act (AEA). Significant nuclear cooperation includes the export of reactors, critical parts of reactors, and reactor fuel. The AEA also provides for export control licensing procedures and criteria for terminating cooperation. Congressional review is required for Section 123 agreements; the AEA establishes special parliamentary procedures by which Congress may act on a proposed agreement."
Venezuela: Political Crisis and U.S. Policy,9/8/25,Clare Ribando Seelke,www.congress.gov/crs-report/IF10230,"Over the past several Congresses, some Members have expressed concerns about authoritarian rule under Venezuelan President Nicolás Maduro (2013-present). Maduro took office after a narrow electoral victory following the death of Hugo Chávez (in office 1999-2013), founder of the United Socialist Party of Venezuela (PSUV). Maduro has remained in power following elections in 2018 and 2024 that were both considered fraudulent by international observers and the U.S. government. After the July 2024 election, Maduro claimed victory even though precinct-level vote tabulations comprising more than 80% of votes cast indicated that opposition candidate Edmundo González Urrutia won 67% of the vote. On January 10, 2025, Maduro began a third term. The Trump Administration has coordinated removal flights to Venezuela and prisoner swaps with Maduro officials while increasing pressure on Maduro and allied criminal groups. The Administration has designated the Tren de Aragua (TdA) prison gang and the Cartel de los Soles (Cartel of the Suns) as foreign terrorists, enabling new sanctions, law enforcement and immigration actions, and potential military action against these entities and their members. Congress may assess how the implementation of these policies may affect U.S. interests in Venezuela and regional security. Congress could consider legislation or oversight actions to authorize, restrict, or otherwise shape U.S. policies, including U.S. military operations near or in Venezuela. Political Situation Venezuela, which the nongovernmental organization Freedom House categorized as “partly free” under President Chávez, has deteriorated to “not free” under Maduro. Chávez, a charismatic politician, benefited from high oil prices and strong popular support. In contrast, Maduro experienced narrow wins and some electoral defeats (including the 2015 legislative elections). The opposition remained united as the Unitary Platform (PUD) under the leadership of Maria Corina Machado from 2022 to 2024 but has since split over whether to participate in future elections. Most PUD..."
China Primer: China’s Global Development Initiative,9/8/25,Ricardo Barrios,www.congress.gov/crs-report/IF13099,"Shifts in the U.S. approach to foreign assistance under the Trump Administration have prompted increased interest from Congress in the People’s Republic of China’s (PRC’s, or China’s) overseas development activity. Per AidData, a non-profit U.S.-based research group, between 2013 and 2021 PRC-based institutions made total development financing commitments of about $794 billion. Since late 2021, the PRC has engaged in international development through its Global Development Initiative (GDI), for which Beijing has so far pledged at least $11 billion. Some Members have expressed concern that the PRC could leverage development activities—such as those conducted under the GDI—to expand its influence in developing countries and enhance its strategic position. The GDI is the first of several “global initiatives” China has launched since 2021. Others include the Global Security Initiative (2022) and the Global Civilization Initiative (2023). Overseas and PRC observers view these initiatives as aiming to further China’s vision for global governance. Background The PRC has engaged in what it now calls “international development cooperation” to varying degrees for decades. This development cooperation includes foreign assistance grants and loans that meet the standards for what the Organisation for Economic Co-operation and Development (OECD) categorizes as “official development assistance” (ODA). China’s development cooperation also includes economic development programs that would not be considered ODA, such as the Belt and Road Initiative (BRI), which aims to develop China-centered—and controlled—global infrastructure, transportation, trade, and production networks. (See CRS In Focus IF11735, China’s “One Belt, One Road” Initiative: Economic Issues.) Since the 2000s, the foreign assistance component of PRC development cooperation has consisted of development finance- and grant-supported projects. Between 2013 and 2018, loans accounted for approximately $22.1 billion (53%) of that assistance by value, with the remaining $19.8 billion comprised of grants, per the PRC’s latest (2021) development cooperation white paper. (Comparatively, the United..."
National Park Service: Fee Increases for International Visitors,9/8/25,Jill H. Wilson; Laura B. Comay,www.congress.gov/crs-report/IF13098,"Congress has debated various measures to generate additional funds for the National Park System in light of a large backlog of deferred maintenance on system lands. One option under discussion has been to raise park entrance fees for international visitors, in line with policies of some other nations that assess different national park fees for domestic versus international visitors. On July 3, 2025, President Trump issued Executive Order (E.O.) 14314, “Making America Beautiful Again by Improving Our National Parks.” The order directed the Secretary of the Interior to increase specified National Park Service (NPS) fees for “nonresidents” of the United States and also directed a price increase for multiagency passes sold to nonresidents. Congress may conduct oversight of the E.O.’s implementation. Also, Congress could consider bills introduced in the 119th Congress related to international visitors to national parks and federal recreational lands. President Trump’s Executive Order E.O. 14314 directs the Secretary of the Interior to “appropriately” increase NPS “entrance fees and recreation pass fees for nonresidents,” in order to “increase revenue and improve the recreational experience at national parks.” The E.O. also directs the Secretaries of the Interior and Agriculture, working together, to take steps to increase the price nonresidents pay for the America the Beautiful—National Parks and Federal Recreational Lands Pass (ATB Pass), which provides access to recreational lands of multiple federal agencies, including NPS. The E.O. directs that the revenues generated from these changes are to be used to improve infrastructure and enhance enjoyment or access, consistent with provisions on fee use (16 U.S.C. §6807) in the Federal Lands Recreation Enhancement Act (FLREA). FLREA authorizes NPS and some other agencies to charge entrance and/or recreation fees on federal recreational lands and to set fee levels according to specified criteria. FLREA also authorizes the establishment and sale of the..."
U.S. Tariff Actions and U.S.-South Korea Trade,9/8/25,Liana Wong,www.congress.gov/crs-report/IN12569,"Since January 2025, the Trump Administration has imposed tariffs affecting most exports from South Korea. In 2024, South Korea was the sixth-largest U.S. goods trading partner, with bilateral trade in goods totaling $200 billion. The U.S.-South Korea (KORUS) Free Trade Agreement (FTA), the second-largest comprehensive U.S. FTA by value, eliminated virtually all tariffs on imports from the other country upon entry into force in 2012. In July 2025, the U.S. and South Korean governments announced a trade deal in response to the Trump Administration’s tariff actions, though its details have yet to be finalized. Congress may consider whether U.S. tariff actions and the July trade deal are consistent with U.S. obligations under the KORUS FTA, which was ratified by Congress, and whether the finalized trade deal requires congressional approval. Some Members have introduced legislation that would require a joint resolution of approval for the President to impose tariffs against U.S. FTA partners. U.S. Tariff Actions Section 232 of the Trade Expansion Act of 1964 Steel and Aluminum. In 2018, President Trump invoked Section 232 to impose tariffs on U.S. imports of steel (25%) after the Commerce Department determined that such imports “threaten to impair” U.S. national security. South Korea, a top supplier of U.S. steel imports, subsequently negotiated an import quota in lieu of the 25% tariff on South Korean-origin steel. Since March 2025, President Trump has eliminated all country exemptions and most product exclusions, expanded the scope of covered products, and raised steel and aluminum tariffs to 50%. In 2024, U.S. steel imports from South Korea were valued at $2.9 billion (fourth-largest U.S. source). Autos. In March 2025, President Trump announced 25% tariffs on U.S. imports of automobiles and certain automobile parts based on the findings of a 2019 Section 232 investigation. The President stated that 2018 revisions to..."
Middle East Oil,9/9/25,Phillip Brown,www.congress.gov/crs-report/IG10044,"/ Middle East Oil Oil production, trade, and refining in the Middle East are important for global oil markets. Three maritime transit points for crude oil and petroleum products are in or near the region. Conflicts within and among Middle East countries and regional militant groups have included attacks—more than 200 since 2017 1 —targeting oil infrastructure, including production fields, pipelines, processing and refining facilities, storage terminals, and tankers. Crude oil includes crude, shale/tight oil, oil sands, and lease condensate or gas condensates that require further refining. Oil products include gasoline, diesel/ gasoil, fuel oil, and other refined petroleum products. Spare capacity changes monthly and is defined by the U.S. Energy Information Administration as “the volume of production that can be brought on within 30 days and sustained for at least 90 days.” Most spare oil production capacity is controlled by Organization of the Petroleum Exporting Countries (OPEC) members. BPD = Barrels per day. UAE = United Arab Emirates. ME = Middle East. * Included in Other ME. Sources: 1. S&P Global Commodity Insights, “Energy Security Sentinel: An Interactive Study of Geopolitical Risk and Energy Prices” (accessed August 14, 2024). 2. S&P Global, “Commodity Midstream Essentials Gold Worldwide” (accessed July 3, 2024). 3. U.S. Energy Information Administration, Country Analysis Brief: World Oil Transit Chokepoints, June 25, 2024. 4. Energy Institute, “Statistical Review of World Energy,” 73rd ed., 2024. 5. International Energy Agency, Oil Market Report, August 13, 2024. Map geography: U.S. Department of State. Information prepared by Phillip Brown, Specialist in Energy Policy; Calvin DeSouza, Geospatial Information Systems Analyst; and Amber Wilhelm, Visual Information Specialist, on September 9, 2025."
Productivity Growth: Trends and Policy Issues,9/9/25,Lida R. Weinstock,www.congress.gov/crs-report/R48695,"Productivity is broadly defined as the ratio of output to inputs. With respect to the economy, productivity measures how efficiently goods and services can be produced by comparing the amount of economic output with the amount of inputs (e.g., labor, capital) used to produce goods and services. Gains in efficiency—that is, fewer inputs relative to output—mean growth in productivity. Productivity growth is typically the most consequential determinant of long-term economic and income growth and substantive improvements in individual living standards. There are two prominent measures of economic productivity: labor productivity (a single-factor productivity measure) and total factor (sometimes called multifactor) productivity (TFP). Labor productivity is defined as the ratio of real (inflation-adjusted) output per labor hour. TFP is a measure of productivity that compares real private business sector output to the level of combined inputs (labor and capital for sector estimates and additionally energy, materials, and purchased services for industry estimates) used to produce goods and services. Policy can affect productivity growth by affecting its determinants: human capital, physical capital, technological growth, and other efficiency gains. One-time improvements in the determinants will lead to one-time increases in productivity. Sustained improvements and increases in the determinants are required for longer-term increases in the growth rate of productivity. Examples of policies that can impact productivity growth include those related to immigration, education, taxes, public investment, interest rates, patent law, industry support, technology, and trade. Recent trends in productivity growth have generally been positive, with an uptick in growth during the current business cycle (beginning in 2020) as compared to the previous business cycle. Over a longer-term horizon, productivity growth has been decelerating, matched by a long-term deceleration in real economic growth. Hypotheses to explain this downturn in productivity growth include a decline or uneven pattern in innovation, lingering but temporary effects from..."
Expiring Health Provisions of the 119th Congress,9/9/25,Alison Mitchell; Evelyne P. Baumrucker; Sylvia L. Bryan; Alexa C. DeBoth; Bernadette Fernandez; Jim Hahn; Elayne J. Heisler; Alexandria K. Mickler; Paulette C. Morgan; Varun Saraswathula; Amanda K. Sarata; Kavya Sekar; Hassan Z. Sheikh; Jared S. Sussman; Jessica Tollestrup; Marco A. Villagrana; Nora Wells; Laura A. Wreschnig; Kirsten J. Colello,www.congress.gov/crs-report/R48649,"This report provides information on selected health provisions that have expired or are scheduled to expire during the 119th Congress (i.e., calendar years [CYs] 2025 and 2026). For purposes of this report, expiring provisions are defined as portions of law that are time-limited and will lapse once a statutory deadline is reached, absent further legislative action. The expiring provisions included in this report are any identified provisions related to Medicare, Medicaid, the State Children’s Health Insurance Program (CHIP), or private health insurance programs and activities. The report also includes any identified expired or expiring public health and other health care-related provisions. In addition, this report describes health provisions within the same scope that expired during the 118th Congress (i.e., in CY2023 and CY2024). Although the Congressional Research Service (CRS) has attempted to be comprehensive in its research, it cannot guarantee that every relevant provision is included in this report. This report focuses on two types of health provisions within the scope discussed above. The first, and most common, type of provision provides or controls mandatory spending, meaning it provides temporary funding, temporary increases or decreases in funding or payment rates (e.g., Medicare provider bonus payments), or temporary special protections that may result in changes in funding levels (e.g., Medicare funding provisions that establish a payment floor). The second type of provision defines the authority of government agencies or other entities to act, usually by authorizing a policy, project, or activity, and includes a definitive expiration or “sunset” date. Such provisions also may temporarily delay the implementation of a regulation, requirement, or deadline or establish a moratorium on a particular activity. Expiring health provisions that are discretionary authorizations of appropriations are excluded from this report. Certain types of provisions with expiration dates that otherwise would meet the criteria set forth above..."
The U.S. Army’s Typhon Mid-Range Capability (MRC) System,9/9/25,Andrew Feickert,www.congress.gov/crs-report/IF12135,"What Is the Army’s Mid-Range Capability (MRC) System? Improved Chinese and Russian long-ranged artillery systems, uncrewed aerial vehicles (UAVs), and the proliferation of special munitions (such as precision, thermobaric, loitering, and top-attack munitions) have renewed concerns about the potential impact of Russian and Chinese fires on U.S. combat operations. In response, the U.S. Army is seeking to improve its ability to deliver what it refers to as long-range precision fires (LRPF) by upgrading current artillery and missile systems, developing new longer-ranged systems (including hypersonic weapons), and modifying existing air-and sea-launched missiles for ground launch. MRC is part of the Army’s LRPF modernization portfolio and is intended to hit targets at ranges between the Precision Strike Missile (PrSM) and the developmental Long-Range Hypersonic Weapon (LRHW) system. The MRC system leverages existing Raytheon-produced SM-6 missiles and Raytheon-produced Tomahawk cruise missiles modified for ground launch. The MRC system is also known as the “Typhon” missile system (Figure 1). Figure 1. Typhon Launchers and Battery Operations Center / What Is Anti-Access/Area Denial (A2/AD)? Anti-Access (A2) is an action, activity, or capability, usually long-range, designed to prevent an advancing enemy force from entering an operational area. Area Denial (AD) is an action, activity, or capability, usually short-range, designed to limit an enemy force’s freedom of action within an operational area. Source: Department of Defense Dictionary of Military and Associated Terms, November 2021. Source: The Drive: https://www.thedrive.com/the-war-zone/army-fires-tomahawk-missile-from-its-new-typhon-battery-in-major-milestone, accessed July 6, 2023. MRC Weapon System Components According to the Army, the MRC battery is planned to consist of four launchers and a battery operations center (BOC) (Figure 1). MRC batteries are to be equipped with a number of prime movers, trailers, generators, and support vehicles. Numbers of soldiers assigned to each battery is presently unknown. MRC Unit Organization The Army plans to field one MRC battery in..."
FY2025 Military Construction Appropriations: A Summary,9/9/25,Andrew Tilghman,www.congress.gov/crs-report/IN12407,"Department of Defense (DOD) military construction and family housing programs fund infrastructure to support military operations and servicemembers around the world. The Biden Administration’s fiscal year 2025 (FY2025) budget submission to Congress requested $17.545 billion for DOD’s military construction (MILCON) and family housing programs. On May 28, 2024, the House Appropriations Committee reported a Military Construction, Veterans Affairs, and Related Agencies Appropriation Act (MILCON-VA), 2025, H.R. 8580 (H.Rept. 118-528). On June 5, 2024, the House passed H.R. 8580, which would have provided $17.957 billion for DOD MILCON accounts, 2.3% more than the requested amount. On July 11, 2024, the Senate Appropriations Committee reported a version of the bill, S. 4677 (S.Rept. 118-191), which would have provided $19.307 billion for DOD MILCON and family housing accounts, 10.0% more than the requested amount. On March 15, 2025, President Trump signed H.R. 1968—the Full-Year Continuing Appropriations and Extensions Act, 2025—into law as P.L. 119-4. The law generally authorized DOD appropriations provided for FY2024 to continue at the same levels for FY2025, but Division A, Title XI of the law contained exceptions that provided new FY2025 appropriations for some MILCON and family housing accounts. The law provided a total of $17.509 billion for these accounts. (Additional information about the appropriations act is available in CRS Report R48517, Section-by-Section Summary of the Full-Year Continuing Appropriations Act, 2025 (Division A of P.L. 119-4), coordinated by Drew C. Aherne). Congress also provided additional funding for DOD’s FY2025 MILCON and family housing accounts in the American Relief Act, 2025, which became P.L. 118-59 on Dec. 1, 2024. This law appropriated $1.765 billion for the Navy and Air Force “for necessary expenses related to the consequences of Typhoon Mawar” on U.S. Navy and U.S. Air Force facilities on the U.S. territory of Guam. Table 1. FY2025 MILCON-VA Appropriations for..."
